  Zt    At     Elab     V real    r real    a real    W volu   ir volu   ia volu    W surf   ir surf   ia surf    r coul  
  13    27     10.0    180.876    0.887     0.859     16.865    1.146     0.608     38.197    0.849     0.876     1.295   
  13    27     11.0    180.837    0.888     0.859     17.082    1.145     0.606     38.107    0.849     0.875     1.294   
  13    27     12.0    180.794    0.888     0.857     17.345    1.145     0.602     37.999    0.849     0.873     1.294   
  13    27     13.0    180.745    0.889     0.855     17.638    1.145      0.6      37.882     0.85     0.869     1.295   
  13    27     14.0    180.693    0.889     0.853     17.945    1.145     0.598     37.757     0.85     0.865     1.295   
  13    27     16.0    180.647    0.889     0.852     18.233    1.145     0.597     37.64      0.85     0.863     1.295   
  13    27     18.0    180.605     0.89     0.851     18.509    1.145     0.598     37.527    0.851     0.863     1.295   
  13    27     19.0    180.503     0.89     0.856     19.133    1.146     0.599     37.292    0.851     0.866     1.296   
  13    27     24.0    180.387    0.891     0.862     19.797    1.146     0.598     37.021    0.851     0.868     1.295   
  13    27     6.0     180.289     0.89     0.859     20.409    1.146     0.605     36.76     0.851      0.87     1.295   
  13    27     7.0     180.051    0.883     0.853     21.898    1.144     0.601     36.148    0.849     0.867     1.294   
  13    27     8.0     180.781     0.89     0.854     17.369    1.147     0.599     37.983    0.851     0.873     1.297   
  13    27     9.0     180.686    0.891     0.851     17.956    1.147     0.596     37.747    0.852     0.867     1.297   
  14    28     10.0    180.602    0.892     0.849     18.51     1.147     0.598     37.52     0.852     0.864     1.298   
  14    28     11.0    180.503    0.892     0.853     19.112    1.148      0.6      37.293    0.853     0.867     1.298   
  14    28     11.5    180.387    0.893      0.86     19.776    1.148     0.599     37.02     0.852     0.868     1.298   
  14    28     13.0    180.284    0.892     0.858     20.377    1.148     0.604     36.76     0.852     0.871     1.297   
  14    28     13.0    180.745    0.903     0.847     17.67     1.161     0.595     37.846    0.861     0.873     1.313   
  14    28     15.0    180.702    0.903     0.847     17.939     1.16     0.596     37.737    0.861     0.871     1.313   
  14    28     16.0    180.656    0.903     0.847     18.207     1.16     0.598     37.627    0.862     0.869     1.313   
  14    28     16.0    180.608    0.903     0.848     18.485     1.16      0.6      37.52     0.861     0.868     1.312   
  14    28    177.8    180.377    0.903     0.855     19.753     1.16     0.606     37.01     0.861     0.871     1.312   
  14    28     21.0    180.259    0.903     0.857     20.37     1.161     0.602     36.753    0.861     0.873     1.312   
  14    28     26.0    180.132    0.902     0.857     20.994     1.16     0.599     36.493    0.861     0.875     1.311   
  14    28     36.0    180.724    0.908     0.848     17.855    1.167     0.596     37.779    0.866     0.872     1.321   
  14    28     8.0     180.702    0.907     0.847     17.993    1.167     0.596     37.722    0.866      0.87      1.32   
  14    28     8.5      180.68    0.907     0.846     18.128    1.167     0.596     37.667    0.866     0.869      1.32   
  14    28     9.0     180.661    0.907     0.846     18.246    1.167     0.596     37.62     0.866     0.868      1.32   
  20    40     34.0    180.549    0.907     0.848     18.851    1.167     0.599     37.389    0.866     0.868      1.32   
  20    44     34.0    180.427    0.907     0.852     19.499    1.168     0.602     37.137    0.866     0.868     1.319   
  20    48     34.0    180.292    0.908     0.855     20.177    1.168     0.602     36.869    0.866     0.866     1.319   
  22    46     17.0     180.23    0.907     0.857     20.49     1.168     0.601     36.738    0.866     0.869     1.319   
  22    48     17.0     180.1     0.907     0.856     21.081    1.168     0.596     36.491    0.866     0.869     1.319   
  26    54     36.0    179.921    0.905     0.855     22.017    1.167     0.604     36.097    0.866     0.868      1.32   
  26    54     42.0    179.611    0.903     0.861     23.609    1.168     0.618     35.346    0.866     0.865     1.322   
  26    54     48.0    180.407    0.938     0.841     19.462    1.205     0.594     37.126    0.894     0.873     1.362   
  26    56     34.0    180.268    0.938      0.85     20.116    1.205     0.596     36.878    0.894     0.876     1.362   
  28    58     19.0    180.018    0.937     0.858     21.331    1.205     0.603     36.391    0.894      0.88     1.362   
  28    58     34.0    179.613    0.936     0.862     23.173    1.204     0.598     35.619    0.894     0.884     1.363   
  28    58     42.0    179.432    0.936     0.863     24.069    1.205     0.608     35.247    0.894     0.886     1.363   
  28    60     34.0    181.241    0.725     0.837     14.226    0.974     0.593     39.252    0.722     0.865      1.1    
  29    65     25.0    181.194    0.726     0.838     14.537    0.974     0.595     39.129    0.722     0.865      1.1    
  34    80     14.0    181.147    0.726      0.84     14.857    0.974     0.596     39.002    0.722     0.866      1.1    
  34    80     14.5     181.1     0.726     0.842     15.183    0.973     0.596     38.873    0.721     0.866      1.1    
  34    80     15.0    181.049    0.726     0.845     15.503    0.973     0.597     38.746    0.721     0.865      1.1    
  34    80     15.5    180.948    0.726      0.85     16.139    0.972      0.6      38.494    0.721     0.863     1.099   
  34    80     16.0    180.853    0.726     0.848     16.747    0.971     0.601     38.246    0.721     0.865      1.1    
  34    80     17.0    180.804    0.726     0.846     17.054    0.971     0.602     38.12     0.721     0.866     1.099   
  34    80     18.0    180.568    0.726     0.841     18.596    0.972     0.595     37.472    0.722     0.866     1.099   
  34    80     19.0    181.428    0.723      0.83     13.031    0.973     0.584     39.731    0.721     0.864     1.099   
  34    80     20.0    181.381    0.724     0.832     13.324    0.973     0.586     39.612    0.722     0.864      1.1    
  34    80     23.0    181.334    0.724     0.834     13.624    0.973     0.588     39.491    0.722     0.864      1.1    
