Projectile: 10B; target: 11B; E = 36 MeV
https://doi.org/10.1016/0375-9474(91)90521-7
Angle       R/s
28.809      0.22748     0.13193e-01 
30.506      0.14957     0.94385e-02 
32.566      0.17594     0.14658e-01 
34.707      0.26290     0.20589e-01 
36.799      0.33920     0.31623e-01 
38.808      0.34266     0.30252e-01 
40.244      0.28007     0.19112e-01 
42.054      0.15728     0.75106e-02 
44.209      0.90744e-01 0.47917e-02 
46.001      0.79159e-01 0.69886e-02 
47.826      0.12491     0.12259e-01 
49.762      0.16651     0.13873e-01 
51.594      0.16371     0.16067e-01 
53.559      0.14515     0.11368e-01 
55.484      0.11419     0.10645e-01 
57.630      0.64465e-01 0.60029e-02 
59.107      0.59384e-01 0.69804e-02 
60.899      0.84967e-01 0.75013e-02 
62.629      0.10105     0.89215e-02 
64.544      0.12689     0.99309e-02 
66.770      0.14845     0.11626e-01 
68.573      0.13379     0.12473e-01 
70.341      0.10875     0.11199e-01 
71.438      0.87455e-01 0.98639e-02 
74.288      0.89774e-01 0.10553e-01 
76.493      0.98927e-01 0.11634e-01 
78.005      0.10105     0.12367e-01 
80.052      0.11443     0.12346e-01 
81.848      0.10091     0.11376e-01 
83.991      0.92430e-01 0.11747e-01 
85.971      0.85594e-01 0.92355e-02 
87.139      0.85095e-01 0.17003e-01 
88.558      0.10863     0.11727e-01 
90.315      0.85461e-01 0.13256e-01 
92.218      0.10331     0.13618e-01 
94.216      0.10101     0.14264e-01 
96.462      0.12545     0.23411e-01 
98.309      0.12883     0.22323e-01 
99.890      0.98638e-01 0.16648e-01 
101.97      0.12385     0.20909e-01 
104.43      0.17430     0.34820e-01 
105.42      0.16865     0.35882e-01 
106.75      0.16405     0.23937e-01 
108.44      0.17500     0.37242e-01 
110.35      0.21502     0.42965e-01 
112.51      0.20909     0.39951e-01 
114.48      0.18741     0.39883e-01 
123.57      0.22844     0.38554e-01 
125.64      0.16834     0.35103e-01 
127.62      0.25709     0.41055e-01 
129.68      0.29753     0.50201e-01 
131.76      0.22777     0.43530e-01 
133.57      0.20752     0.45920e-01 
135.54      0.30843     0.54843e-01 
137.90      0.32716     0.63945e-01 
139.68      0.27774     0.51856e-01 
