Projectile: 10B; target: 16O; E = 41.3 MeV
https://doi.org/10.5506/APhysPolB.53.9-A5
Angle       C/s
13.0        20602.1500  
14.6        7988.86978  
17.9        3501.70964  
21.1        1555.41394  
24.3        525.17083   
32.3        109.2916    
35.5        52.84698    
37.1        66.88284    
38.7        36.24431    
40.3        33.29637    
41.9        17.68754    
43.5        13.86903    
45.1        7.27933     
46.6        8.16572     
48.2        6.10117     
49.8        8.38420     
51.3        5.50253     
52.9        4.98755     
54.4        2.58124     
56.0        2.04173     
57.5        1.25159     
59.1        1.84028     
62.2        1.88790     
65.2        1.04837     
68.2        0.65337     
71.2        0.55389     
