Projectile: 10B; target: 6Li; E = 51 MeV
https://doi.org/10.1103/PhysRevC.106.014615
Angle       R/s
16.111      7.853e-01   2.533e-01   
18.537      2.239e-01   7.022e-02   
21.427      2.901e-01   8.326e-02   
24.182      5.895e-01   1.796e-01   
27.068      6.397e-01   2.064e-01   
29.805      5.357e-01   1.632e-01   
32.535      3.301e-01   9.213e-02   
35.129      2.879e-01   8.772e-02   
37.870      2.959e-01   8.492e-02   
40.610      2.979e-01   8.811e-02   
43.496      3.210e-01   9.584e-02   
46.239      3.531e-01   1.107e-01   
49.123      3.412e-01   1.070e-01   
51.861      3.101e-01   9.407e-02   
54.893      3.652e-01   1.002e-01   
57.772      2.799e-01   8.754e-02   
60.651      2.131e-01   6.563e-02   
63.820      1.760e-01   5.254e-02   
66.711      2.392e-01   6.794e-02   
70.178      3.099e-01   9.441e-02   
73.053      1.922e-01   5.830e-02   
76.216      1.192e-01   2.785e-02   
79.535      1.268e-01   3.662e-02   
83.003      1.807e-01   5.308e-02   
86.479      3.573e-01   1.067e-01   
90.077      2.422e-01   7.595e-02   
98.153      2.324e-01   7.288e-02   
99.891      3.313e-01   9.731e-02   
107.968     3.312e-01   9.567e-02   
111.865     3.821e-01   1.141e-01   
113.889     4.688e-01   1.399e-01   
116.054     5.018e-01   1.522e-01   
118.073     4.949e-01   1.454e-01   
120.087     4.006e-01   1.157e-01   
121.816     3.616e-01   1.027e-01   
123.983     4.317e-01   1.309e-01   
125.862     5.261e-01   1.494e-01   
127.883     5.593e-01   1.616e-01   
129.906     6.909e-01   2.029e-01   
131.929     8.082e-01   2.413e-01   
133.801     7.003e-01   1.989e-01   
135.965     7.147e-01   2.134e-01   
138.127     6.585e-01   1.966e-01   
140.003     7.001e-01   1.989e-01   
141.881     8.133e-01   2.467e-01   
143.903     9.257e-01   2.808e-01   
146.070     1.083e+00   3.128e-01   
148.088     1.046e+00   2.972e-01   
149.820     1.083e+00   3.075e-01   
151.836     9.317e-01   2.647e-01   
153.858     1.082e+00   3.180e-01   
156.022     1.128e+00   3.257e-01   
158.044     1.257e+00   3.693e-01   
160.070     1.732e+00   5.005e-01   
161.946     1.804e+00   5.213e-01   
164.111     1.972e+00   5.886e-01   
166.133     2.244e+00   6.374e-01   
168.153     2.290e+00   6.837e-01   
