Projectile: 10Be; target: 9Be; E = 21.8 MeV
https://doi.org/10.1103/PhysRevC.106.054602
Angle       R/s
29.593      0.43991022  0.04347136  
31.713      0.36247939  0.03611343  
33.834      0.36366821  0.06746979  
35.957      0.28469591  0.04541522  
38.081      0.28677680  0.04127311  
40.207      0.12449358  0.02230598  
42.335      0.10513867  0.01668258  
44.465      0.21813244  0.04596930  
46.597      0.20541173  0.02983987  
48.731      0.15122228  0.02679473  
50.868      0.06096753  0.03870081  
53.007      0.10814766  0.04576125  
55.149      0.05980452  0.03632440  
