Projectile: 10Be; target: d; E = 12 MeV
https://doi.org/10.1103/PhysRevLett.134.012502
Angle       C/s
22.         376.3316    6.42575     
23.         371.74106   6.25327     
24.         354.18219   5.9825      
25.         283.10394   5.24717     
26.         239.64638   4.74013     
27.         195.00732   4.20173     
28.         162.40022   3.77064     
29.         112.92367   3.09409     
30.         87.29845    2.67882     
31.         64.16065    2.26277     
32.         44.05454    1.84849     
33.         27.62004    1.44372     
34.         16.90512    1.11469     
35.         10.31866    0.85989     
36.         4.19551     0.54164     
37.         2.25374     0.39232     
38.         1.33518     0.29856     
39.         0.97965     0.25294     
40.         1.5346      0.31325     
41.         2.44328     0.39124     
42.         2.5184      0.39331     
43.         3.67619     0.47069     
44.         3.19503     0.43479     
45.         5.52193     0.56654     
46.         5.19947     0.54505     
47.         5.22646     0.54196     
48.         5.03292     0.52759     
49.         5.71823     0.55804     
50.         5.3117      0.53385     
51.         5.34159     0.53151     
52.         4.53773     0.4865      
53.         3.44809     0.42125     
54.         3.91188     0.4458      
55.         2.25788     0.33658     
56.         2.37968     0.34348     
57.         2.20533     0.32875     
58.         1.55089     0.27416     
59.         1.24669     0.2445      
60.         1.2814      0.24661     
61.         0.84587     0.19937     
62.         0.69825     0.18029     
63.         0.23064     0.10315     
64.         0.3201      0.12099     
65.         0.40815     0.13605     
66.         0.4949      0.14922     
67.         0.0893      0.06315     
68.         0.17732     0.08866     
69.         0.30818     0.11648     
70.         0.34991     0.12371     
71.         0.30428     0.11501     
72.         0.30251     0.11434     
73.         0.34383     0.12156     
74.         0.5986      0.15998     
75.         0.51061     0.1474      
76.         0.42359     0.13395     
77.         0.33746     0.11931     
78.         0.63029     0.16274     
79.         0.62805     0.16216     
80.         0.58429     0.15616     
81.         0.58259     0.1557      
82.         0.58107     0.1553      
83.         0.53833     0.1493      
84.         0.4546      0.13707     
85.         0.53635     0.14876     
86.         0.45321     0.13665     
87.         0.49389     0.14257     
88.         0.49351     0.14246     
89.         0.49329     0.1424      
90.         0.61651     0.15918     
91.         0.65772     0.16443     
92.         0.32901     0.11632     
93.         0.20579     0.09203     
94.         0.41201     0.13029     
95.         0.33006     0.1167      
96.         0.20664     0.09241     
97.         0.33128     0.11712     
98.         0.20752     0.09281     
99.         0.33291     0.1177      
100.        0.16694     0.08347     
101.        0.20935     0.09362     
102.        0.16808     0.08404     
103.        0.16873     0.08436     
104.        0.2118      0.09472     
105.        0.12765     0.0737      
106.        0.2993      0.11313     
107.        0.12894     0.07444     
108.        0.17286     0.08643     
109.        0.17388     0.08694     
110.        0.08748     0.06186     
111.        0.1761      0.08805     
114.        0.17996     0.08998     
115.        0.0907      0.06413     
116.        0.27437     0.11201     
117.        0.13839     0.0799      
120.        0.14238     0.0822      
122.        0.1454      0.08394     
123.        0.14702     0.08488     
124.        0.14873     0.08587     
125.        0.15053     0.08691     
126.        0.15241     0.08799     
127.        0.15439     0.08914     
128.        0.15647     0.09034     
130.        0.16096     0.09293     
131.        0.16338     0.09433     
132.        0.16592     0.09579     
133.        0.22479     0.1124      
134.        0.17141     0.09896     
135.        0.11625     0.0822      
137.        0.24106     0.12053     
138.        0.2457      0.12285     
139.        0.18794     0.10851     
140.        0.19183     0.11075     
141.        0.13062     0.09236     
142.        0.13352     0.09441     
144.        0.2797      0.13985     
145.        0.28663     0.14331     
