Projectile: 11B; target: 12C; E = 50 MeV
http://dx.doi.org/10.1103/PhysRevC.99.025805
Angle       C/s
15.3        1918.       12.         
17.3        1517.8      8.9         
19.2        1094.7      7.4         
21.1        611.4       5.5         
23.0        253.4       3.5         
24.9        95.6        1.3         
26.8        88.42       0.85        
28.7        96.4        1.3         
30.6        81.0        1.1         
32.6        43.37       0.62        
34.5        15.36       0.28        
36.4        7.63        0.17        
38.3        10.61       0.22        
40.2        13.81       0.29        
42.1        10.74       0.23        
44.0        5.04        0.12        
45.9        1.70        0.08        
