Projectile: 11B; target: 7Li; E = 44 MeV
http://dx.doi.org/10.1103/PhysRevC.72.034608
Angle       C/s
5.5         1.7400e+3   348.        
18.         602.5       120.5       
20.6        239.6       47.92       
23.2        173.4       34.68       
25.8        209.8       41.96       
28.4        140.7       28.14       
31.1        69.15       13.83       
33.7        27.57       5.514       
36.3        13.44       2.688       
39.         12.4        2.48        
41.7        16.6        3.32        
44.3        18.28       3.656       
47.         13.91       2.782       
49.8        4.29        0.858       
52.5        2.198       0.4396      
55.3        1.909       0.3818      
58.         2.54        0.508       
60.9        2.618       0.5236      
63.7        2.079       0.4158      
66.6        1.323       0.2646      
69.5        0.7722      0.1544      
72.5        0.7146      0.14292     
75.5        0.736       0.1472      
78.6        0.6958      0.13916     
81.7        0.5449      0.10898     
85.         0.3527      7.0540e-2   
88.3        0.2714      5.4280e-2   
91.8        0.3201      6.4020e-2   
95.4        0.3787      7.5740e-2   
111.9       0.2794      5.5880e-2   
113.9       0.2647      5.2940e-2   
115.9       0.2809      5.6180e-2   
117.9       0.2976      5.9520e-2   
119.9       0.32        6.4000e-2   
121.9       0.2822      5.6440e-2   
123.9       0.2674      5.3480e-2   
125.9       0.2483      4.9660e-2   
127.9       0.2595      5.1900e-2   
129.9       0.227       4.5400e-2   
131.9       0.2501      5.0020e-2   
133.9       0.245       4.9000e-2   
135.9       0.2704      5.4080e-2   
137.9       0.2968      5.9360e-2   
139.9       0.3074      6.1480e-2   
141.9       0.2674      5.3480e-2   
143.9       0.2474      4.9480e-2   
145.9       0.2479      4.9580e-2   
147.9       0.1955      3.9100e-2   
150.        0.2111      4.2220e-2   
152.        0.2506      5.0120e-2   
154.        0.3143      6.2860e-2   
156.        0.452       9.0400e-2   
158.        0.5095      0.1019      
160.        0.5258      0.10516     
162.        0.4782      9.5640e-2   
164.        0.4158      8.3160e-2   
166.        0.3715      7.4300e-2   
