Projectile: 11B; target: 9Be; E = 31.4 MeV
http://dx.doi.org/10.1103/PhysRevC.106.054602
Angle       R/s
27.044      0.50537980  0.05822361  
29.569      0.33726866  0.04946032  
32.287      0.26145977  0.03989016  
35.081      0.12133075  0.04054346  
37.430      0.14311784  0.03717678  
40.149      0.17233764  0.05219284  
42.407      0.16584555  0.03350342  
44.607      0.20264948  0.06861928  
46.949      0.13087367  0.09295204  
49.150      0.09944304  0.07050006  
53.662      0.17454713  0.12524954  
58.249      0.17067455  0.12136137  
