Projectile: 12C; target: 11B; E = 18 MeV
http://dx.doi.org/10.1142/S021830131450061X
Angle       C/s
15.96       39000.      
19.72       15210.      
25.02       6991.1      
29.37       3509.5      
33.13       2035.1      
37.26       1248.2      
41.61       726.72      
45.95       429.94      
50.13       249.32      
54.1        161.74      
58.24       106.62      
62.41       76.763      
66.93       53.523      
70.89       41.582      
75.03       32.177      
79.75       22.435      
83.93       15.333      
88.65       8.8911      
91.28       6.7706      
92.41       5.3666      
95.25       5.1765      
99.6        5.8611      
103.18      6.5308      
107.32      7.8526      
111.66      8.5762      
115.26      7.5744      
119.06      5.8611      
123.57      4.3052      
127.01      4.1527      
131.13      4.2367      
134.89      5.0738      
139.07      4.8163      
142.66      3.0018      
146.43      2.1698      
150.6       3.4124      
154.36      6.0764      
158.33      6.427       
162.09      6.1993      
166.64      3.8023      
