Projectile: 12C; target: 14N; E = 78.8 MeV
http://dx.doi.org/10.1016/0375-9474(79)90309-9
Angle       C/s
1.314e+01   4.235e-01   
1.525e+01   4.589e-01   
1.742e+01   3.127e-01   
1.948e+01   1.259e-01   
2.164e+01   1.465e-01   
2.301e+01   2.687e-01   
2.387e+01   2.131e-01   
2.592e+01   1.091e-01   
2.809e+01   2.618e-02   
3.025e+01   8.202e-02   
3.242e+01   1.364e-01   
3.379e+01   1.131e-01   
3.470e+01   7.304e-02   
3.596e+01   2.641e-02   
3.676e+01   1.632e-02   
3.813e+01   2.812e-02   
4.018e+01   9.293e-02   
4.229e+01   9.129e-02   
4.468e+01   4.759e-02   
4.668e+01   3.842e-02   
4.879e+01   7.435e-02   
5.113e+01   8.888e-02   
