Projectile: 12C; target: 4He; E = 42.6 MeV
http://dx.doi.org/10.1088/0954-3899/36/5/055105
Angle       C/s
6.00000     668740.2470     
8.00000     876118.4500     
10.00000    887082.8230     
12.00000    295086.8560     
18.00000    137617.1470     
20.00000    109264.7420     
22.00000    78954.67580     
24.00000    59449.58830     
26.00000    40671.13080     
28.00000    3616.17010      
30.00000    5804.85510      
32.00000    11303.47930     
34.00000    24956.00600     
36.00000    40626.86270     
38.00000    78744.87110     
40.00000    113013.2680     
42.00000    193932.6860     
44.00000    256093.7740     
46.00000    248955.9660     
