Projectile: 12C; target: 9Be; E = 65 MeV
http://dx.doi.org/10.1016/S0375-9474(99)00369-3
Angle       C/s
23.400      0.128e+03   1.0000      
29.300      5.715e+01   0.3300      
35.200      1.365e+01   0.1750      
41.100      1.020e+01   0.2005      
47.100      3.563e+00   0.1195      
53.200      2.530e+00   0.0655      
59.300      .1681e+01   0.1270      
65.500      .9104e+00   0.0646      
71.800      .1113e+01   0.0725      
78.200      .4447e+00   0.0475      
84.900      .4368e+00   0.0427      
91.700      .2620e+00   0.0312      
99.900      .2638e+00   0.0320      
104.900     .4397e+00   0.0487      
109.900     .5013e+00   0.05455     
114.900     .6491e+00   0.06800     
119.900     .5502e+00   0.06015     
124.900     .4019e+00   0.05045     
129.900     .3116e+00   0.06405     
134.900     .4122e+00   0.03110     
139.900     .4937e+00   0.05210     
144.900     .5041e+00   0.05240     
149.900     .6768e+00   0.04635     
155.000     .6474e+00   0.04100     
