Projectile: 14N; target: 11B; E = 88 MeV
http://dx.doi.org/10.1016/j.nuclphysa.2015.06.012
Angle       C/s
15.9        278.2       83.4        
18.2        146.2       43.8        
20.5        202.8       60.8        
22.8        144.8       43.4        
25.1        27.48       8.24        
27.4        16.67       5.00        
29.7        10.79       3.23        
32.         4.364       1.309       
34.3        2.764       0.829       
36.6        2.333       0.699       
38.9        2.275       0.682       
41.2        1.015       0.304       
43.5        0.7361      0.2208      
45.8        0.5629      0.1688      
48.2        0.4491      0.1347      
50.5        0.2454      0.0736      
52.9        0.2946      0.0883      
55.2        0.2201      0.0660      
57.6        0.104       0.031       
60.         0.08563     0.02568     
62.3        0.1811      0.0543      
64.7        0.2103      0.0630      
67.1        0.05192     0.01557     
69.6        0.06164     0.01849     
72.         0.2211      0.0663      
74.5        0.0466      0.0139      
76.9        0.02207     0.00662     
79.4        0.1143      0.0342      
81.9        0.1149      0.0344      
109.9       0.03291     0.00987     
111.9       0.05172     0.01551     
113.9       0.04406     0.01321     
115.9       0.03472     0.01041     
117.9       0.01969     0.00590     
119.9       0.03789     0.01136     
121.9       0.06365     0.01909     
123.9       0.05168     0.01550     
125.9       0.03838     0.01151     
127.9       0.04263     0.01278     
129.9       0.07896     0.02368     
131.9       0.034       0.010       
133.9       0.03568     0.01070     
135.9       0.05407     0.01622     
137.9       0.07115     0.02134     
139.9       0.02713     0.00813     
141.9       0.01492     0.00447     
143.9       0.02469     0.00740     
145.9       0.04189     0.01256     
147.9       0.04017     0.01205     
149.9       0.03393     0.01017     
151.9       0.02727     0.00818     
153.9       0.0678      0.0203      
156.        0.03723     0.01116     
158.        0.04362     0.01308     
160.        0.1081      0.0324      
162.        0.204       0.061       
164.        0.1356      0.0406      
166.        0.08202     0.02460     
