Projectile: 14N; target: 16O; E = 76.2 MeV
http://dx.doi.org/10.1016/0375-9474(79)90309-9
Angle       C/s
13.1        9510.             
15.0        3890.             
16.9        1640.             
18.8        1080.             
20.6        572.              
22.5        176.              
24.4        113.              
26.3        141.              
28.1        73.4              
30.0        18.5              
31.9        19.1              
33.7        28.5              
35.6        20.0              
37.5        3.69              
39.3        3.84              
41.2        8.72              
43.0        6.12              
44.9        2.85              
46.8        1.05              
48.6        1.53              
50.5        1.24              
