Projectile: 14N; target: 7Li; E = 110 MeV
http://dx.doi.org/10.1016/S0375-9474(01)01319-7
Angle       C/s
15.         495.        99.         
18.1        312.        62.4        
22.6        25.         5.01        
27.2        58.1        11.6        
30.3        20.1        4.03        
33.4        7.65        1.53        
38.2        8.11        1.62        
42.9        2.89        0.578       
46.2        2.2         0.44        
49.4        2.25        0.451       
54.5        1.04        0.208       
59.6        1.02        0.205       
63.1        0.64        0.128       
66.7        0.532       0.106       
72.4        0.268       0.0536      
78.4        0.25        0.05        
82.6        0.17        0.0341      
87.1        0.154       0.0307      
94.7        0.117       0.0235      
104.4       0.11        0.022       
119.8       0.0732      0.0146      
121.8       0.097       0.0194      
124.8       0.14        0.028       
127.8       0.102       0.0204      
129.8       0.0726      0.0145      
131.8       0.0935      0.0187      
134.9       0.151       0.0303      
137.9       0.128       0.0255      
139.9       0.0968      0.0194      
141.9       0.0852      0.017       
144.9       0.089       0.0178      
147.9       0.157       0.0313      
149.9       0.122       0.0244      
151.9       0.0797      0.0159      
154.9       0.162       0.0324      
157.9       0.215       0.0429      
159.9       0.266       0.0532      
161.9       0.283       0.0565      
164.9       0.2         0.0399      
168.        0.526       0.105       
170.        0.569       0.114       
