Projectile: 15N; target: 10B; E = 81 MeV
http://dx.doi.org/10.15407/jnpae2022.03.153
Angle       C/s
17.726      7.264e+02   1.574e+02   
20.353      4.104e+02   8.893e+01   
22.815      2.319e+02   5.024e+01   
25.273      9.462e+01   2.050e+01   
27.736      5.960e+01   1.417e+01   
30.363      3.277e+01   7.790e+00   
32.828      2.364e+01   5.122e+00   
35.455      1.373e+01   2.428e+00   
38.080      6.590e+00   1.566e+00   
40.696      1.605e+00   4.443e-01   
43.170      2.410e+00   4.167e-01   
45.636      1.886e+00   3.263e-01   
48.266      1.398e+00   3.322e-01   
51.051      4.590e-01   9.946e-02   
53.514      2.738e-01   7.575e-02   
56.309      2.030e-01   4.248e-02   
58.937      1.350e-01   2.633e-02   
61.737      1.463e-01   3.476e-02   
64.372      1.585e-01   3.436e-02   
67.004      1.383e-01   3.825e-02   
69.959      7.400e-02   2.048e-02   
97.941      6.062e-02   1.677e-02   
101.894     6.934e-02   1.648e-02   
106.004     4.608e-02   8.993e-03   
107.982     5.722e-02   1.360e-02   
109.956     5.130e-02   1.112e-02   
111.929     4.356e-02   8.500e-03   
113.902     3.600e-02   7.801e-03   
115.886     7.286e-02   1.881e-02   
117.865     9.551e-02   2.270e-02   
120.003     8.333e-02   1.806e-02   
121.812     6.703e-02   1.402e-02   
123.946     4.222e-02   9.147e-03   
125.928     7.461e-02   1.773e-02   
127.912     1.430e-01   3.100e-02   
130.047     1.004e-01   2.386e-02   
131.856     8.528e-02   1.664e-02   
133.997     9.245e-02   2.003e-02   
135.978     1.426e-01   3.091e-02   
137.959     2.323e-01   4.534e-02   
139.933     1.973e-01   4.275e-02   
144.041     1.084e-01   2.270e-02   
145.691     1.501e-01   3.254e-02   
148.007     3.673e-01   7.959e-02   
149.977     2.443e-01   4.768e-02   
151.780     1.344e-01   2.325e-02   
153.920     1.307e-01   2.832e-02   
155.903     2.505e-01   5.955e-02   
158.051     4.802e-01   1.141e-01   
160.025     4.078e-01   8.835e-02   
161.990     1.805e-01   3.123e-02   
163.970     2.567e-01   5.011e-02   
165.950     3.854e-01   7.523e-02   
