Projectile: 15N; target: 6Li; E = 23.1 MeV
http://dx.doi.org/10.1103/PhysRevC.103.044614
Angle       R/s
25.150      1.705e-01   5.010e-02   
28.660      2.763e-02   7.766e-03   
32.210      4.888e-02   1.436e-02   
36.134      1.451e-01   4.171e-02   
40.047      2.109e-01   6.197e-02   
43.688      5.785e-02   1.663e-02   
47.601      8.487e-02   2.493e-02   
51.504      7.034e-02   1.977e-02   
55.529      5.576e-02   1.603e-02   
59.798      4.342e-02   1.276e-02   
64.450      9.264e-02   2.663e-02   
73.599      6.141e-02   1.881e-02   
78.973      7.337e-02   2.247e-02   
92.161      8.682e-02   2.606e-02   
94.479      7.869e-02   2.410e-02   
96.185      6.466e-02   1.818e-02   
98.136      5.809e-02   1.815e-02   
100.206     4.175e-02   1.200e-02   
102.161     4.564e-02   1.369e-02   
104.243     6.939e-02   1.951e-02   
106.083     1.185e-01   3.481e-02   
108.161     1.379e-01   4.308e-02   
110.359     1.391e-01   4.174e-02   
112.433     1.261e-01   3.783e-02   
114.383     1.073e-01   3.221e-02   
116.335     9.642e-02   2.833e-02   
118.287     9.220e-02   2.651e-02   
120.362     8.975e-02   2.693e-02   
122.199     1.294e-01   3.801e-02   
124.520     1.389e-01   4.168e-02   
126.237     2.169e-01   6.237e-02   
128.193     2.524e-01   6.933e-02   
130.146     2.501e-01   6.870e-02   
132.461     1.931e-01   5.427e-02   
134.285     1.247e-01   3.425e-02   
136.238     1.225e-01   3.521e-02   
140.400     2.390e-01   7.022e-02   
142.356     2.908e-01   9.086e-02   
144.434     3.265e-01   9.797e-02   
146.266     3.474e-01   9.989e-02   
148.338     2.880e-01   8.823e-02   
150.286     2.052e-01   6.285e-02   
152.604     1.843e-01   5.416e-02   
154.437     2.088e-01   6.003e-02   
156.150     2.680e-01   8.043e-02   
158.353     3.727e-01   1.095e-01   
160.437     6.364e-01   1.870e-01   
162.520     9.591e-01   2.818e-01   
164.712     7.144e-01   2.232e-01   
166.415     4.955e-01   1.548e-01   
