Projectile: 16O; target: 10B; E = 64 MeV
http://dx.doi.org/10.1103/PhysRevC.49.2018
Angle       R/s
32.096      0.12463      
34.656      0.82372e-01  
37.295      0.78042e-01  
40.044      0.51182e-01  
42.582      0.57152e-01  
50.983      0.34718e-01  
53.735      0.21055e-01  
56.588      0.11005e-01  
59.500      0.12881e-01  
62.321      0.14051e-01  
71.477      0.84047e-02  
74.487      0.88860e-02  
77.601      0.77254e-02  
80.889      0.90434e-02  
84.375      0.86375e-02  
119.28      0.18794e-01  
121.33      0.24927e-01  
123.31      0.28049e-01  
125.11      0.22365e-01  
127.26      0.25765e-01  
133.57      0.31148e-01  
135.63      0.37024e-01  
137.60      0.40694e-01  
139.58      0.37948e-01  
141.65      0.43376e-01  
147.87      0.39560e-01  
149.74      0.45571e-01  
151.71      0.58120e-01  
153.68      0.66953e-01  
155.65      0.77734e-01  
161.86      0.97722e-01  
163.83      0.11435      
165.79      0.16790      
167.77      0.13923      
169.74      0.18178      
