Projectile: 16O; target: 11B; E = 60 MeV
http://dx.doi.org/10.1016/0375-9474(72)90868-8
Angle       R/s
23.20000    0.30700                 
25.60000    0.34800                 
27.00000    0.25300                 
28.40000    0.21400                 
29.80000    0.21400                 
32.20000    0.07640                 
34.10000    0.10300                 
36.90000    0.10500                 
39.70000    0.11700                 
39.70000    0.05860                 
40.70000    0.03420                 
42.60000    0.02370                 
44.00000    0.02890                 
45.40000    0.03430                 
45.90000    0.06190                 
48.70000    0.04400                 
49.20000    0.05100                 
49.60000    0.06360                 
51.50000    0.02450                 
54.40000    0.01830                 
56.30000    0.03140                 
58.60000    0.02580                 
134.50000   0.01480                 
136.80000   0.01990                 
136.80000   0.02810                 
140.10000   0.02150                 
140.60000   0.02620                 
142.00000   0.01290                 
143.90000   0.01490                 
143.90000   0.01260                 
145.30000   0.01030                 
146.30000   0.01820                 
148.60000   0.03200                 
148.60000   0.04520                 
149.50000   0.04630                 
150.50000   0.05370                 
151.90000   0.05650                 
152.40000   0.04010                 
154.70000   0.04010                 
155.70000   0.02340                 
156.60000   0.01830                 
157.60000   0.03560                 
158.50000   0.05270        
