Projectile: 16O; target: 12C; E = 20 MeV
http://dx.doi.org/10.1016/j.nuclphysa.2011.04.006
Angle       C/s
30.00000    8937.10000  9.4         
32.00000    6852.60000  9.4         
34.00000    5216.20000  9.41        
36.00000    4120.20000  9.42        
38.00000    3323.80000  9.46        
40.00000    2777.60000  9.52        
42.00000    2329.80000  9.45        
44.00000    1919.80000  9.42        
46.00000    1593.40000  9.41        
48.00000    1479.10000  9.41        
50.00000    1215.50000  9.41        
52.00000    1094.50000  9.41        
54.00000    959.76000   9.44        
56.00000    814.32      9.48        
58.00000    697.32      9.45        
60.00000    590.4       9.43        
62.00000    521.64      9.42        
64.00000    471.36      9.42        
66.00000    413.76      9.42        
68.00000    366.00      9.55        
70.00000    318.36      9.54        
72.00000    274.92      9.49        
74.00000    227.16      9.46        
76.00000    209.16      9.53        
78.00000    194.76      9.57        
80.00000    175.8       9.58        
82.00000    168.00      9.60        
84.00000    158.52      9.69        
86.00000    148.56      9.79        
88.00000    140.76      9.94        
90.00000    114.48      9.95        
92.00000    104.28      10.24       
94.00000    108.12      10.25       
96.00000    97.56       10.26       
98.00000    87.96       10.27       
100.00000   80.4        10.28       
102.00000   77.76       10.29       
104.00000   78.48       10.3        
106.00000   81.00       10.32       
108.00000   82.44       10.33       
110.00000   79.44       10.34       
112.00000   71.76       10.35       
114.00000   62.64       10.36       
116.00000   53.4        10.37       
118.00000   46.08       10.38       
120.00000   45.48       10.39       
122.00000   55.08       10.4        
124.00000   59.76       10.41       
126.00000   75.24       10.42       
128.00000   76.44       10.43       
130.00000   73.44       10.44       
132.00000   63.24       10.45       
134.00000   64.68       10.46       
136.00000   78.96       10.47       
138.00000   107.76      10.48       
140.00000   149.64      10.49       
142.00000   155.4       10.5        
