Projectile: 16O; target: 13C; E = 132 MeV
http://dx.doi.org/10.1134/S1063778807010012
Angle       C/s
6.7         29730.      1.3         
7.8         6910.       1.4         
8.9         1070.       3.9         
10.0        222.        6.5         
11.2        1470.       2.9         
12.3        1030.       2.7         
13.4        700.        3.0         
14.5        563.        3.7         
15.6        602.        4.2         
16.7        406.        5.0         
17.9        180.        6.0         
19.0        62.5        7.1         
20.1        58.4        6.0         
21.2        97.1        5.6         
22.3        85.8        4.6         
23.5        48.8        5.7         
24.6        14.6        14.0        
25.7        9.67        6.0         
26.8        19.4        4.3         
28.0        23.1        6.5         
29.1        16.6        7.0         
30.2        10.63       8.5         
31.3        2.79        8.8         
32.4        2.42        7.0         
33.6        5.23        7.5         
35.8        4.46        9.0         
38.1        1.40        11.0        
40.4        1.16        12.5        
42.6        1.66        6.3         
44.9        0.852       10.0        
47.2        0.729       6.0         
49.5        0.584       6.0         
51.7        0.212       8.0         
54.0        0.144       7.0         
58.6        0.0779      6.0         
61.0        0.0779      7.0         
63.3        0.0685      6.0         
65.6        0.0694      7.0         
68.0        0.0418      9.0         
70.3        0.0278      10.0        
72.7        0.0145      32.0        
75.1        0.00372     41.0        
77.5        0.00230     30.0        
79.9        0.00384     20.0        
82.3        0.00578     26.0        
84.8        0.00729     20.0        
87.3        0.00858     20.0        
89.8        0.00779     22.0        
92.3        0.00833     22.0        
