Projectile: 3He; target: 11B; E = 17.5 MeV
http://dx.doi.org/10.1016/0375-9474(77)90686-8
Angle       C/s
18.414      896.79      53.142      
24.049      324.79      25.912      
28.785      75.716      5.2601      
33.343      13.236      1.0560      
38.171      9.8608      0.58434     
44.391      18.083      1.4427      
48.271      15.729      1.0927      
52.135      9.4982      0.66262     
55.189      3.0465      0.21075     
60.812      1.0824      0.64140e-01 
65.495      1.7555      0.12247     
65.786      2.0074      0.11837     
69.611      3.1366      0.21790     
73.675      3.6732      0.23954     
78.258      3.6164      0.25123     
83.300      2.7194      0.13364     
86.663      2.0104      0.13966     
90.376      1.3366      0.92468e-01 
94.835      1.0758      0.75051e-01 
98.601      1.0913      0.64668e-01 
102.41      1.1839      0.82590e-01 
106.23      1.3218      0.64960e-01 
109.69      1.1285      0.66871e-01 
113.38      1.0202      0.50137e-01 
116.92      1.0058      0.56267e-01 
120.67      0.99130     0.68577e-01 
124.82      0.95794     0.62470e-01 
127.81      1.0605      0.62844e-01 
130.65      0.92367     0.54735e-01 
133.86      1.0522      0.58861e-01 
136.85      1.1874      0.70705e-01 
139.78      1.1943      0.70424e-01 
