Projectile: 3He; target: 4He; E = 8.72 MeV
http://dx.doi.org/10.1103/PhysRev.130.1112
Angle       C/s
29.9        950.8       
32.4        737.7       
40.2        359.0       
40.9        334.4       
47.8        177.0       
48.5        129.5       
51.7        86.9        
52.5        73.8        
53.3        60.7        
59.8        21.3        
63.9        8.2         
68.0        9.8         
68.0        13.1        
69.7        13.1        
73.8        22.9        
79.7        42.6        
85.6        59.0        
90.6        75.4        
93.0        72.1        
94.7        77.0        
98.9        73.8        
99.7        70.5        
103.8       60.7        
104.6       67.2        
110.4       47.5        
110.4       54.1        
114.5       37.7        
119.4       29.5        
121.1       42.6        
124.4       34.4        
129.4       49.2        
134.4       55.7        
134.5       82.0        
141.2       100.0       
145.5       150.8       
150.5       159.0       
