Projectile: 3He; target: d; E = 24 MeV
http://dx.doi.org/10.1016/S0375-9474(99)00395-4
Angle       C/s
25.0        560.0       23.0        
40.0        198.0       8.0         
55.0        40.0        1.6         
76.0        25.6        1.1         
80.0        32.8        1.3         
87.8        45.0        1.8         
95.0        51.0        2.1         
110.0       45.1        1.8         
116.0       37.8        1.6         
120.0       32.5        1.3         
125.0       24.6        1.0         
128.0       20.7        0.9         
130.0       18.0        0.8         
132.0       15.8        0.7         
134.0       13.9        0.6         
135.0       12.5        0.5         
138.0       12.0        0.5         
145.0       15.5        0.7         
148.0       20.0        0.8         
150.0       25.5        1.1         
152.0       31.8        1.3         
154.0       40.0        1.6         
155.0       45.0        1.8         
158.0       62.0        2.6         
