Projectile: 4He; target: 10B; E = 24 MeV
http://dx.doi.org/10.1016/0375-9474(72)90274-6
Angle       C/s
27.6        3.644e+01   
33.0        1.193e+02   
39.3        1.083e+02   
45.3        3.965e+01   
48.5        1.724e+01   
51.5        1.745e+01   
57.3        2.326e+01   
63.2        1.890e+01   
66.4        1.304e+01   
72.4        1.221e+01   
78.6        1.290e+01   
81.5        1.460e+01   
84.4        1.571e+01   
93.6        1.445e+01   
96.6        1.433e+01   
99.6        1.094e+01   
105.4       1.003e+01   
108.5       1.091e+01   
114.3       1.188e+01   
117.4       1.317e+01   
120.6       1.320e+01   
123.8       1.310e+01   
132.3       9.843e+00   
135.8       1.103e+01   
138.7       1.199e+01   
141.3       1.315e+01   
144.5       1.204e+01   
147.8       1.102e+01   
150.5       9.117e+00   
153.9       8.181e+00   
156.8       9.071e+00   
159.9       1.462e+01   
162.9       2.044e+01   
165.8       3.293e+01   
168.6       4.893e+01   
171.7       3.968e+01   
