Projectile: 4He; target: 15N; E = 28 MeV
http://dx.doi.org/10.1016/0375-9474(73)90639-8
Angle       R/s
37.42       0.3541      
47.16       1.660       
49.48       1.861       
56.44       0.5441      
66.18       1.481       
68.50       2.550       
70.35       3.493       
73.14       3.807       
75.92       2.479       
77.78       1.759       
80.10       1.482       
81.96       2.341       
83.81       3.396       
86.59       5.216       
87.98       6.944       
92.16       8.012       
94.94       6.749       
101.0       4.789       
103.3       4.523       
104.7       6.751       
106.5       7.789       
109.3       9.248       
112.1       10.08       
114.9       8.250       
116.3       4.791       
118.2       3.210       
120.5       3.304       
121.9       5.221       
124.6       5.074       
126.5       6.755       
127.9       10.08       
129.3       8.493       
131.6       7.575       
133.5       5.691       
134.9       4.399       
136.2       3.033       
137.6       1.527       
139.5       1.362       
144.1       1.053       
145.1       2.414       
147.8       4.795       
149.7       6.029       
151.1       7.365       
152.0       8.744       
155.3       9.805       
157.1       6.957       
159.0       5.860       
161.8       2.867       
163.6       1.287       
165.0       3.036       
166.4       6.031       
168.3       11.98       
169.2       20.05       
171.5       31.69       
172.9       44.67       
173.4       54.58       
175.7       62.97       
177.1       77.93       
