Projectile: 4He; target: 16O; E = 22.5 MeV
http://dx.doi.org/10.1016/0029-5582(65)90613-9
Angle       C/s
31.         0.108e+03   
34.         0.917e+02   
37.         0.366e+02   
40.         0.115e+02   
42.         0.635e+01   
44.         0.891e+01   
46.         0.222e+02   
49.         0.347e+02   
53.         0.403e+02   
56.         0.343e+02   
58.         0.254e+02   
62.         0.149e+02   
64.         0.817e+01   
67.         0.405e+01   
70.         0.307e+01   
73.         0.436e+01   
75.         0.656e+01   
79.         0.699e+01   
81.         0.670e+01   
84.         0.460e+01   
86.         0.209e+01   
87.         0.827e+00   
90.         0.380e+00   
92.         0.668e+00   
95.         0.303e+01   
97.         0.685e+01   
100.        0.101e+02   
103.        0.117e+02   
106.        0.104e+02   
107.        0.791e+01   
110.        0.502e+01   
112.        0.358e+01   
115.        0.417e+01   
117.        0.590e+01   
119.        0.921e+01   
122.        0.132e+02   
124.        0.189e+02   
126.        0.231e+02   
128.        0.249e+02   
131.        0.253e+02   
133.        0.228e+02   
135.        0.186e+02   
138.        0.130e+02   
139.        0.728e+01   
141.        0.450e+01   
144.        0.453e+01   
145.        0.927e+01   
147.        0.170e+02   
149.        0.251e+02   
151.        0.308e+02   
153.        0.344e+02   
156.        0.348e+02   
157.        0.291e+02   
160.        0.206e+02   
162.        0.949e+01   
165.        0.824e+01   
168.        0.237e+02   
169.        0.549e+02   
170.        0.968e+02   
172.        0.142e+03   
175.        0.189e+03   
