Projectile: 4He; target: 3He; E = 28.5 MeV
http://dx.doi.org/10.1143/JPSJ.16.1077
Angle       C/s
35.57       76.572      3.842       
41.45       35.830      1.031       
47.17       16.106      0.618       
53.38       14.450      0.563       
59.36       21.390      0.656       
65.25       29.304      1.104       
71.68       33.188      3.091       
78.35       29.741      0.927       
85.32       19.890      2.438       
92.26       3.899       1.325       
95.01       0.477       0.281       
99.91       1.202       0.530       
104.66      2.879       0.883       
110.04      8.132       0.486       
114.89      9.146       0.353       
119.80      6.317       0.353       
129.80      4.228       0.469       
134.80      2.540       0.375       
139.86      7.458       1.413       
144.70      11.070      1.782       
149.93      21.940      8.833       
