Projectile: 4He; target: 6Li; E = 15 MeV
http://dx.doi.org/10.1103/PhysRevC.53.2862
Angle       C/s
10.114      5.795e+03   
13.421      2.702e+03   
16.988      1.533e+03   
20.299      9.364e+02   
22.845      5.448e+02   
26.153      2.540e+02   
29.457      9.494e+01   
32.753      1.920e+01   
35.276      2.560e+00   
38.355      7.170e+00   
41.684      1.355e+01   
45.006      1.688e+01   
47.053      2.156e+01   
50.371      1.999e+01   
51.645      1.682e+01   
53.946      2.096e+01   
57.004      1.448e+01   
60.062      9.521e+00   
62.350      5.021e+00   
65.657      2.122e+00   
68.708      8.752e-01   
71.765      5.755e-01   
74.854      3.053e+00   
77.163      6.691e+00   
80.230      8.131e+00   
83.295      8.957e+00   
85.084      1.012e+01   
86.107      1.116e+01   
87.635      8.508e+00   
88.149      1.061e+01   
91.974      8.083e+00   
96.310      5.860e+00   
103.193     2.795e+00   
107.030     4.672e+00   
110.869     8.408e+00   
115.215     1.274e+01   
118.030     1.884e+01   
121.864     2.588e+01   
126.206     2.779e+01   
130.291     2.773e+01   
134.372     2.112e+01   
138.192     1.113e+01   
141.246     5.727e+00   
145.048     8.625e-01   
149.147     2.189e+00   
152.997     8.432e+00   
155.816     1.717e+01   
159.904     2.085e+01   
163.737     2.726e+01   
168.081     3.393e+01   
