Projectile: 6Li; target: 9Be; E = 7 MeV
http://dx.doi.org/10.1016/0375-9474(94)00323-F
Angle       R/s
29.8        0.4073      0.0500      
33.0        0.3913      0.0467      
36.4        0.3672                  
39.7        0.4602                  
42.7        0.5260                  
46.0        0.5607                  
49.3        0.4798                  
52.4        0.4300                  
55.7        0.3394                  
58.7        0.3150                  
61.9        0.3097                  
67.7        0.3910                  
71.9        0.4672                  
75.8        0.4641                  
79.8        0.4154                  
83.8        0.3274                  
87.8        0.2436                  
91.8        0.1833                  
95.9        0.1759                  
103.8       0.2427                  
107.9       0.3489                  
111.8       0.3715                  
115.8       0.4191                  
119.9       0.4210                  
123.8       0.3994                  
127.9       0.3533                  
131.8       0.3391                  
135.9       0.3527                  
139.8       0.4215                  
143.8       0.4810                  
147.8       0.5302                  
151.8       0.6485                  
155.8       0.6079      0.0512      
