Projectile: 7Li; target: 11B; E = 9.85 MeV
http://dx.doi.org/10.11804/NuclPhysRev.30.02.117
Angle       R/s
18.63       0.7918      0.0101      
21.88       0.8110      0.0195      
25.13       0.7094      0.0102      
28.37       0.6851      0.0146      
29.83       0.6044      0.0278      
35.47       0.4984      0.0137      
38.68       0.4784      0.0267      
41.88       0.4342      0.0149      
45.06       0.4285      0.0213      
47.29       0.4665      0.0275      
48.24       0.4634      0.0188      
52.02       0.4235      0.0130      
55.16       0.4126      0.0243      
58.28       0.3942      0.0133      
61.37       0.4136      0.0190      
64.45       0.3585      0.0143      
