Projectile: 7Li; target: 13C; E = 63 MeV
http://dx.doi.org/10.1103/PhysRevC.70.054610
Angle       R/s
7.250       9.596e-01   
8.354       7.259e-01   
9.103       4.914e-01   
9.894       1.704e-01   
10.568      3.822e-01   
12.424      1.903e-01   
12.455      1.153e-01   
14.538      4.901e-01   
14.557      3.608e-01   
14.883      6.474e-01   
17.419      6.467e-01   
18.886      4.891e-01   
18.901      3.807e-01   
19.290      2.506e-01   
20.781      1.284e-01   
22.661      4.328e-02   
22.985      7.987e-02   
24.364      2.432e-01   
24.385      1.741e-01   
26.151      3.588e-01   
28.325      3.585e-01   
28.341      2.790e-01   
29.445      2.111e-01   
29.837      1.314e-01   
30.219      9.673e-02   
31.689      6.920e-02   
32.785      6.018e-02   
33.485      8.884e-02   
33.824      1.276e-01   
35.979      1.732e-01   
38.492      2.484e-01   
39.947      2.283e-01   
40.325      1.777e-01   
42.168      1.075e-01   
42.873      1.460e-01   
42.907      8.602e-02   
44.370      6.880e-02   
45.809      8.125e-02   
48.329      1.043e-01   
49.782      9.856e-02   
52.327      8.565e-02   
52.341      6.854e-02   
54.182      4.265e-02   
55.645      3.411e-02   
58.889      4.500e-02   
59.601      5.467e-02   
62.128      6.276e-02   
63.929      7.411e-02   
66.828      7.401e-02   
69.737      6.254e-02   
72.998      6.244e-02   
73.729      5.584e-02   
74.477      3.887e-02   
77.370      4.220e-02   
78.483      2.777e-02   
79.218      2.349e-02   
80.709      1.203e-02   
80.734      8.146e-03   
81.872      3.630e-03   
