Projectile: 7Li; target: 16O; E = 26 MeV
http://dx.doi.org/10.1088/0004-637X/756/2/193
Angle       C/s
11.5        17600.00    1400.00     
14.4        6150.00     490.00      
15.8        4050.00     330.00      
17.2        2290.00     180.00      
18.7        1510.00     120.00      
20.1        1060.00     85.00       
21.5        888.00      72.00       
22.9        706.00      57.00       
24.4        535.00      44.00       
25.8        388.00      32.00       
27.2        260.00      21.00       
28.6        156.00      13.00       
30.0        93.00       7.60        
31.5        58.50       4.80        
32.9        48.30       4.00        
34.3        46.20       3.80        
37.1        41.70       3.70        
39.9        30.70       2.70        
42.7        16.00       1.40        
45.4        7.51        0.71        
48.2        4.87        0.46        
50.9        6.43        0.57        
