Projectile: 7Li; target: 4He; E = 16.5 MeV
http://dx.doi.org/10.1103/PhysRevC.63.064601
Angle       C/s
9.788e+00   5.101e+03   
1.355e+01   2.684e+03   
1.656e+01   1.367e+03   
1.882e+01   7.917e+02   
2.221e+01   3.546e+02   
2.560e+01   1.310e+02   
2.861e+01   2.891e+01   
3.162e+01   5.984e+00   
3.464e+01   1.338e+01   
3.727e+01   3.190e+01   
4.104e+01   3.873e+01   
4.405e+01   3.408e+01   
4.706e+01   2.812e+01   
5.007e+01   1.852e+01   
5.271e+01   9.743e+00   
5.572e+01   6.019e+00   
5.873e+01   5.128e+00   
6.174e+01   7.549e+00   
6.701e+01   1.112e+01   
7.078e+01   1.113e+01   
7.416e+01   7.819e+00   
7.944e+01   3.737e+00   
8.320e+01   3.288e+00   
8.696e+01   3.625e+00   
9.148e+01   5.878e+00   
9.525e+01   6.691e+00   
9.751e+01   5.700e+00   
1.028e+02   5.708e+00   
1.065e+02   5.023e+00   
1.088e+02   3.886e+00   
1.122e+02   3.766e+00   
1.156e+02   3.534e+00   
1.197e+02   4.879e+00   
1.242e+02   5.209e+00   
1.288e+02   6.745e+00   
1.318e+02   6.536e+00   
1.363e+02   6.978e+00   
1.400e+02   6.984e+00   
1.442e+02   7.219e+00   
1.483e+02   7.707e+00   
1.521e+02   8.495e+00   
1.559e+02   6.789e+00   
1.600e+02   7.017e+00   
1.645e+02   7.255e+00   
1.683e+02   9.698e+00   
