Projectile: 8Li; target: 9Be; E = 18.9 MeV
http://dx.doi.org/10.1103/PhysRevC.106.054602
Angle       R/s
22.869      0.28689902  0.08184935  
25.065      0.25200466  0.09710735  
27.402      0.21177604  0.12336988  
29.823      0.44149806  0.13022048  
31.927      0.47919997  0.14736634  
33.926      0.45258353  0.20424659  
35.717      0.50468720  0.16249282  
37.699      0.44485562  0.21224560  
39.527      0.52863471  0.19363024  
41.399      0.63688975  0.49950814  
48.934      0.45935283  0.16382657  
50.800      0.57644465  0.54926977  
52.665      0.66513266  0.63824665  
54.527      0.90002680  0.84583340  
56.388      0.86413561  0.80454436  
