Projectile: 9Be; target: 12C; E = 21.0 MeV
https://doi.org/10.1016/j.nuclphysa.2011.02.005
Angle       R/s
17.49       0.977       0.049       
20.98       0.899       0.046       
24.47       0.698       0.037       
27.95       0.513       0.027       
31.42       0.485       0.026       
34.88       0.386       0.020       
38.34       0.297       0.015       
41.79       0.209       0.011       
45.22       0.189       0.010       
48.65       0.204       0.011       
52.06       0.197       0.010       
55.45       0.157       0.008       
58.83       0.120       0.006       
62.20       0.093       0.005       
65.54       0.094       0.005       
68.86       0.110       0.006       
72.17       0.114       0.006       
75.45       0.108       0.006       
78.70       0.086       0.004       
81.93       0.061       0.003       
85.12       0.038       0.002       
88.29       0.040       0.002       
91.42       0.056       0.003       
94.51       0.080       0.004       
97.56       0.091       0.005       
100.57      0.087       0.005       
103.54      0.083       0.005       
106.45      0.062       0.004       
109.32      0.047       0.003       
112.13      0.034       0.002       
