Projectile: 9Be; target: 13C; E = 40 MeV
https://doi.org/10.1103/PhysRevC.87.017601
Angle       C/s
16.96       702.77      56.22       
18.72       626.40      50.11       
20.20       464.29      37.14       
21.97       278.96      22.32       
23.65       121.97      9.76        
25.42       50.61       4.05        
27.01       29.37       2.35        
28.86       41.50       3.32        
30.15       43.40       3.47        
31.81       39.00       3.12        
33.46       24.50       1.96        
35.11       11.96       0.96        
36.76       3.15        0.25        
38.41       2.21        0.18        
40.05       4.34        0.35        
41.69       6.11        0.49        
43.32       6.98        0.56        
45.04       5.23        0.42        
46.58       3.10        0.25        
48.21       1.43        0.11        
49.82       0.59        0.05        
51.44       0.73        0.06        
53.05       0.99        0.08        
54.66       1.26        0.10        
56.26       1.17        0.09        
57.86       0.97        0.08        
59.45       0.65        0.05        
61.04       0.22        0.02        
