Projectile: d; target: 3He; E = 10 MeV
https://doi.org/10.1103/PhysRev.88.425
Angle       C/s
33.2        0.418       0.0019      
37.3        0.290       0.013       
41.4        0.215       0.011       
45.4        0.142       0.007       
49.5        0.100       0.005       
53.5        0.0597      0.0029      
57.5        0.0391      0.0021      
61.4        0.0240      0.0016      
65.4        0.0183      0.0013      
69.3        0.0235      0.0012      
73.1        0.0295      0.0014      
76.9        0.0404      0.0019      
80.7        0.0515      0.0024      
84.4        0.0639      0.0031      
88.1        0.0721      0.0033      
91.7        0.0804      0.0039      
95.3        0.0861      0.0040      
98.8        0.0837      0.0039      
102.2       0.0843      0.0040      
105.0       0.0768      0.0038      
105.5       0.0814      0.0043      
108.8       0.0696      0.0033      
110.0       0.0695      0.0033      
112.0       0.0642      0.0031      
115.0       0.0478      0.0032      
115.1       0.0532      0.0045      
118.1       0.0452      0.0026      
120.0       0.0356      0.0020      
121.0       0.0364      0.0029      
123.9       0.0347      0.0054      
125.0       0.0362      0.0051      
126.6       0.0300      0.0034      
130.0       0.0246      0.0021      
135.0       0.0409      0.0050      
140.0       0.0538      0.0076      
