Projectile: d; target: 4He; E = 10 MeV
https://doi.org/10.1103/PhysRevC.21.44
Angle       C/s
30.0        170.        
33.7        113.        
37.3        70.7        
41.0        42.9        
44.7        26.0        
48.3        16.5        
51.9        12.3        
55.4        12.0        
59.0        13.4        
65.9        19.0        
72.8        25.6        
79.5        31.3        
86.0        35.8        
92.2        38.8        
98.3        39.7        
104.2       37.2        
109.8       33.6        
115.2       28.6        
120.2       23.8        
125.0       19.4        
130.0       16.0        
135.0       14.5        
140.0       15.0        
145.0       16.9        
150.0       20.5        
155.0       25.3        
160.0       30.2        
