Projectile: d; target: 9Be; E = 7.8 MeV
https://doi.org/10.1103/PhysRev.127.926
Angle       C/s
18.4        1.24e+00    1.11e-01    
21.3        1.67e+00    1.15e-01    
24.1        2.35e+00    1.43e-01    
27.4        2.65e+00    1.56e-01    
30.4        2.98e+00    1.77e-01    
33.2        2.79e+00    1.66e-01    
36.1        2.82e+00    1.57e-01    
39.2        2.30e+00    7.79e-02    
42.1        1.95e+00    9.10e-02    
45.1        1.34e+00    6.02e-02    
48.2        9.34e-01    3.67e-02    
51.1        8.18e-01    3.02e-02    
53.9        8.69e-01    3.89e-02    
65.3        3.16e+00    1.24e-01    
71.3        4.18e+00    1.88e-01    
76.5        4.68e+00    2.10e-01    
82.1        4.63e+00    1.90e-01    
87.2        4.18e+00    1.57e-01    
92.5        4.12e+00    1.62e-01    
97.4        4.02e+00    1.58e-01    
102.4       4.15e+00    1.78e-01    
107.9       4.68e+00    1.75e-01    
