Projectile: p; target: 14N; E = 7.7 MeV
https://doi.org/10.1143/JPSJ.15.760
Angle       C/s
20.08       1.348e+03   
26.91       8.039e+02   
31.99       5.581e+02   
37.04       3.621e+02   
42.86       2.145e+02   
48.30       1.360e+02   
52.97       9.302e+01   
58.43       6.078e+01   
63.27       3.856e+01   
70.92       2.387e+01   
79.17       2.235e+01   
87.20       3.098e+01   
95.40       4.072e+01   
102.10      4.644e+01   
109.40      4.692e+01   
116.70      5.036e+01   
123.80      4.864e+01   
131.60      4.768e+01   
138.50      4.640e+01   
145.60      4.981e+01   
152.00      4.998e+01   
160.80      5.692e+01   
166.00      5.890e+01   
