Projectile: p; target: 16O; E = 10.2 MeV
https://doi.org/10.1143/JPSJ.15.1164
Angle       C/s
21.2        1093.                
31.8        327.                 
42.3        107.                 
52.7        23.2                 
57.9        9.84                 
63.1        7.76                 
73.4        19.5                 
83.5        38.6                 
93.6        52.                  
103.5       58.6                 
113.4       54.2                 
123.1       41.7                 
132.7       26.5                 
142.3       16.2                 
151.8       11.2                 
