Projectile: p; target: 4He; E = 7 MeV
https://doi.org/10.1016/0029-5582(64)90233-0
Angle       C/s
25.10       484.        
25.58       486.        
30.89       425.        
35.07       383.        
40.07       347.        
44.98       315.        
49.03       291.        
54.70       250.        
60.00       220.        
64.20       193.        
70.10       160.        
80.00       111.        
81.93       103.        
90.00       75.3        
90.90       72.5        
100.00      52.6        
100.33      50.9        
106.90      41.3        
107.20      42.4        
109.90      40.3        
120.60      42.0        
122.80      43.1        
130.90      53.1        
140.80      68.2        
149.40      81.0        
154.90      91.1        
160.00      100.        
164.40      106.        
