Projectile: p; target: 7Li; E = 10 MeV

Angle       C/s
28.5        353.        11.66       
34.         276.        10.00       
39.7        222.        8.01        
45.3        161.        7.81        
50.8        100.        8.49        
56.3        73.6        7.68        
67.1        27.4        7.32        
77.7        9.74        6.95        
82.9        11.2        7.16        
93.2        14.1        7.68        
98.2        16.7        7.16        
103.2       19.7        7.27        
108.1       20.4        7.62        
112.9       23.         7.10        
117.7       23.1        7.38        
122.4       22.4        8.01        
127.1       22.6        7.38        
131.7       20.7        7.94        
136.3       18.4        7.27        
158.4       12.8        7.05        
162.8       11.8        7.62        
