Projectile: p; target: 7Li; E = 8 MeV
https://doi.org/10.1134/S1062873823704282
Angle       C/s
28.5        353.        15.23       
34.1        255.        9.84        
39.7        208.        8.14        
45.3        175.        7.38        
50.8        106.        7.21        
56.3        63.6        7.10        
61.7        47.7        7.44        
77.7        16.1        8.21        
82.9        16.7        7.32        
88.1        19.6        7.87        
93.2        27.1        7.56        
98.2        32.7        7.75        
103.2       35.3        7.38        
108.1       39.2        7.21        
112.9       37.6        6.95        
117.7       33.9        7.27        
122.4       32.7        7.38        
127.1       29.9        8.35        
131.7       28.8        7.62        
136.3       26.7        7.21        
154.1       28.6        7.05        
158.4       28.2        8.21        
