Projectile: p; target: 9Be; E = 8 MeV

Angle       C/s
22.18       644.00      38.64       
27.69       532.00      31.92       
33.18       332.00      19.92       
38.65       219.00      13.14       
44.09       146.00      8.76        
54.88       87.00       5.22        
60.22       43.00       2.58        
70.78       20.00       1.20        
81.16       8.20        0.49        
91.35       11.50       0.69        
96.37       15.60       0.94        
101.34      16.50       0.99        
106.27      18.10       1.09        
111.15      19.00       1.14        
115.98      20.26       1.22        
120.76      20.00       1.20        
125.50      18.10       1.09        
130.20      17.70       1.06        
134.86      16.50       0.99        
139.49      16.00       0.96        
153.16      15.30       0.92        
