Projectile: 10B; target: 11B; E = 48 MeV
https://doi.org/10.1016/0375-9474(91)90521-7
Angle       R/s
30.449      0.28501     0.20880e-01 
32.501      0.32980     0.22497e-01 
34.462      0.28618     0.22388e-01 
36.281      0.15822     0.13953e-01 
38.255      0.84211e-01 0.70126e-02 
40.175      0.10922     0.90842e-02 
41.971      0.16227     0.13496e-01 
43.724      0.21048     0.15420e-01 
45.707      0.19600     0.16312e-01 
47.610      0.14140     0.12477e-01 
51.260      0.76453e-01 0.55932e-02 
53.307      0.87038e-01 0.50472e-02 
55.518      0.98546e-01 0.11098e-01 
57.048      0.10686     0.72838e-02 
59.022      0.96841e-01 0.70848e-02 
60.796      0.78735e-01 0.84862e-02 
62.569      0.64015e-01 0.65918e-02 
64.540      0.57388e-01 0.50609e-02 
66.457      0.73629e-01 0.82916e-02 
68.491      0.80696e-01 0.90915e-02 
70.503      0.82413e-01 0.11625e-01 
72.558      0.56617e-01 0.11055e-01 
74.369      0.88329e-01 0.13690e-01 
76.050      0.91204e-01 0.14960e-01 
77.873      0.86800e-01 0.14634e-01 
79.870      0.84419e-01 0.11908e-01 
81.570      0.92532e-01 0.13053e-01 
83.606      0.10197     0.14858e-01 
85.601      0.98632e-01 0.13918e-01 
87.171      0.71552e-01 0.15211e-01 
88.572      0.87437e-01 0.13944e-01 
90.386      0.80986e-01 0.12179e-01 
92.212      0.77918e-01 0.14184e-01 
93.943      0.94177e-01 0.13723e-01 
96.064      0.79960e-01 0.19999e-01 
98.129      0.96635e-01 0.24165e-01 
100.10      0.87103e-01 0.25238e-01 
102.00      0.10527     0.19163e-01 
104.04      0.11727     0.27399e-01 
106.06      0.12240     0.29610e-01 
108.24      0.12774     0.29845e-01 
110.11      0.14001     0.20408e-01 
112.20      0.10722     0.19040e-01 
114.26      0.12611     0.17199e-01 
116.44      0.12949     0.23577e-01 
118.53      0.16977     0.23154e-01 
120.60      0.20629     0.29090e-01 
122.24      0.19212     0.33256e-01 
124.37      0.16490     0.31475e-01 
126.54      0.16568     0.30159e-01 
128.23      0.17294     0.30719e-01 
130.20      0.26543     0.44751e-01 
132.19      0.25536     0.45347e-01 
134.18      0.23909     0.44593e-01 
