Projectile: 11B; target: 13C; E = 45 MeV
http://dx.doi.org/10.1016/S0375-9474(03)01478-7
Angle       C/s
9.2         41620.0     340.0       
11.1        15790.0     60.0        
12.9        6090.0      39.0        
14.8        2044.0      19.0        
16.6        1626.0      21.0        
18.5        1021.0      21.0        
20.3        562.70      10.80       
22.2        167.50      5.60        
24.0        81.950      2.810       
25.8        92.500      3.120       
27.7        94.910      2.660       
29.5        70.670      2.350       
31.4        28.640      1.440       
33.2        10.470      0.870       
35.0        6.2360      0.680       
36.9        15.720      1.090       
38.7        16.930      1.120       
40.5        17.050      1.100       
42.4        10.040      0.860       
44.2        2.5860      0.4420      
45.1        2.8310      0.4520      
46.0        1.7560      0.3680      
46.9        1.4060      0.2830      
47.8        2.5690      0.4470      
48.7        1.7630      0.4320      
49.7        2.5620      0.4200      
50.6        3.4340      0.6110      
51.5        3.9440      0.5230      
52.4        3.8210      0.6470      
53.3        2.9940      0.4650      
54.2        1.7440      0.4390      
56.0        1.4640      0.3290      
57.8        1.3550      0.3770      
59.6        1.1840      0.3620      
61.4        1.2580      0.3770      
63.2        1.5400      0.4230      
65.0        1.7530      0.4550      
66.8        1.2860      0.3660      
68.6        1.5330      0.4650      
70.4        1.2210      0.4240      
103.0       0.5863      0.2723      
105.0       0.5269      0.2527      
107.0       0.6753      0.2462      
109.0       0.6717      0.3011      
111.0       0.6147      0.2479      
113.0       0.8465      0.2871      
115.0       0.8274      0.2797      
117.0       0.8678      0.2785      
119.0       0.6269      0.1997      
121.0       0.7033      0.2584      
122.0       0.6686      0.2033      
123.0       0.7209      0.2599      
124.0       0.6450      0.1957      
125.0       0.6785      0.2512      
126.0       0.7346      0.2078      
127.0       0.7969      0.2682      
128.0       0.7315      0.2208      
129.0       0.6907      0.1835      
130.0       0.6342      0.2050      
131.0       0.7111      0.2564      
132.0       0.5637      0.1906      
134.0       0.7870      0.2226      
136.0       0.8965      0.2313      
138.0       0.8192      0.2288      
140.0       0.7976      0.2259      
142.0       0.7127      0.2125      
144.0       0.6644      0.2048      
146.0       0.6299      0.1967      
148.0       0.5817      0.1966      
150.0       0.6330      0.2001      
152.0       0.8019      0.2677      
154.0       0.9020      0.2721      
156.0       0.8128      0.3635      
158.0       0.8761      0.3918      
160.0       0.9223      0.4758      
162.6       1.1830      0.4321      
164.0       1.2350      0.4280      
166.0       1.6160      0.5910      
