Projectile: 11B; target: 13C; E = 50 MeV
http://dx.doi.org/10.1088/0004-637X/756/2/193
Angle       C/s
14.8        1910.00     160.00      
16.6        1330.00     110.00      
18.5        819.00      66.00       
20.3        317.00      26.00       
22.1        105.00      8.80        
24.0        68.70       5.80        
25.8        85.10       6.90        
27.7        86.90       7.00        
29.5        50.00       4.10        
31.3        20.10       1.60        
33.2        8.10        0.69        
35.0        7.25        0.61        
36.8        12.40       1.00        
38.7        12.90       1.10        
40.5        8.23        0.71        
42.3        3.40        0.30        
