Projectile: 11B; target: 9Be; E = 45 MeV
http://dx.doi.org/10.1016/S0375-9474(02)01391-X
Angle       C/s
6.7         7.94e+04    3.00e+02    
8.9         2.63e+04    2.00e+02    
11.1        9.81e+03    1.70e+02    
13.4        2.81e+03    2.20e+02    
15.6        1.08e+03    7.00e+01    
17.8        6.26e+02    1.10e+01    
24.5        2.25e+02    3.00        
26.7        7.93e+01    1.53e+01    
29.0        2.82e+01    1.30        
31.2        3.60e+01    2.00        
32.3        4.15e+01    2.50        
33.5        4.59e+01    1.00        
35.7        2.82e+01    1.40        
38.0        1.19e+01    4.00e-01    
39.1        9.46        1.44        
40.2        5.01        9.90e-01    
42.4        3.75        6.00e-02    
44.7        4.82        9.00e-02    
45.9        5.49        4.60e-01    
47.0        5.27        1.32        
48.1        5.76        4.72e-01    
49.3        5.76        9.22e-01    
50.4        4.67        4.30e-01    
51.6        3.785       5.68e-01    
53.8        1.83        2.75e-01    
55.0        1.07        2.00e-01    
56.1        0.8965      1.35e-01    
57.3        1.20        1.90e-01    
58.4        1.44        1.20e-01    
59.6        1.77        4.00e-01    
60.4        1.34        1.10e-01    
61.9        1.77        2.70e-01    
64.2        1.66        2.49e-01    
66.9        1.165       1.75e-01    
68.9        7.15e-01    9.90e-02    
71.2        0.5903      1.77e-01    
73.6        5.76e-01    7.60e-02    
78.3        4.44e-01    7.20e-02    
80.7        2.40e-01    5.80e-02    
83.5        4.02e-01    6.60e-02    
106.9       2.74e-01    6.10e-02    
108.9       2.76e-01    7.00e-02    
110.9       2.78e-01    6.40e-02    
114.9       2.64e-01    5.80e-02    
116.9       2.03e-01    5.50e-02    
118.9       2.18e-01    6.20e-02    
119.9       2.25e-01    4.50e-02    
120.9       1.84e-01    4.70e-02    
121.9       2.08e-01    4.60e-02    
122.9       2.41e-01    5.90e-02    
123.9       2.14e-01    4.10e-02    
124.9       0.227       5.70e-02    
125.9       1.47e-01    3.60e-02    
127.9       1.48e-01    3.26e-02    
130.0       1.96e-01    4.17e-02    
132.0       2.22e-01    4.71e-02    
134.0       2.15e-01    3.90e-02    
136.0       0.28        8.40e-02    
138.0       2.37e-01    4.50e-02    
140.0       0.266       8.00e-02    
142.0       3.26e-01    9.70e-02    
144.0       3.73e-01    6.60e-02    
146.0       4.07e-01    7.60e-02    
148.0       3.20e-01    6.80e-02    
150.0       2.69e-01    6.40e-02    
152.0       4.14e-01    8.20e-02    
154.0       6.14e-01    1.16e-01    
156.0       7.49e-01    1.44e-01    
158.0       5.68e-01    1.28e-01    
164.0       6.17e-01    1.31e-01    
166.0       1.14        3.42e-01    
168.0       1.016       3.05e-01    
170.0       1.34        4.02e-01    
