Projectile: 12C; target: 11B; E = 21 MeV
http://dx.doi.org/10.1103/PhysRevC.90.067601
Angle       C/s
15.3        1918.       96.65       
17.3        1517.8      76.41       
19.2        1094.66     55.23       
21.1        611.43      31.06       
23.         253.43      13.14       
24.9        95.62       4.95        
26.8        88.42       4.5         
28.7        96.38       4.98        
30.6        80.96       4.21        
32.6        43.37       2.26        
34.5        15.36       0.82        
36.4        7.63        0.42        
38.3        10.61       0.57        
40.2        13.81       0.75        
42.1        10.74       0.58        
44.         5.04        0.28        
45.9        1.7         0.11        
132.        1.18591     0.08193     
134.        1.23133     0.09134     
136.        1.55071     0.10469     
138.        1.55674     0.10466     
140.        1.19814     0.07901     
142.        1.39525     0.18659     
144.        1.67811     0.10732     
146.        2.51012     0.14859     
148.        3.02976     0.18364     
150.        2.69489     0.16301     
152.        2.34266     0.14114     
154.        2.49207     0.15466     
156.        4.42794     0.26874     
157.        6.03119     0.35817     
158.        6.81691     0.38329     
160.        7.33041     0.41419     
162.        5.04569     0.29834     
163.8       4.98971     0.2769      
166.        11.73243    0.63391     
168.        18.25579    1.04086     
169.8       26.24601    1.8379      
172.        27.2693     2.01955     
174.        27.69352    1.95746     
