Projectile: 12C; target: 16O; E = 21 MeV
http://dx.doi.org/10.1142/S0218301311019106
Angle       C/s
22.73       12517.      
24.47       9509.       
26.21       8349.       
27.95       6657.       
29.68       5296.       
31.42       4346.       
33.15       3499.       
34.88       3002.       
36.61       2465.       
38.34       1999.       
40.06       1577.       
41.78       1236.       
43.5        953.        
45.22       772.        
46.93       647.        
48.64       534.        
50.35       470.        
52.05       410.        
53.75       355.        
55.45       316.        
57.14       254.        
58.83       208.        
60.51       167.        
62.19       137.        
63.86       115.        
65.53       96.2209     
67.2        79.6736     
68.86       71.1895     
70.51       59.6013     
72.16       51.414      
73.8        40.8299     
75.44       34.7731     
77.06       29.6748     
78.69       27.8202     
80.3        25.1213     
81.91       25.5256     
83.51       26.9616     
85.11       26.9675     
86.69       26.0405     
88.27       22.8599     
89.84       24.2257     
91.4        20.371      
92.95       17.9527     
94.49       14.8818     
96.02       15.0308     
97.54       10.1426     
99.05       8.03313     
100.        7.25829     
100.55      5.54423     
102.        7.1814      
104.        8.80022     
106.        11.6354     
108.        13.363      
110.        18.5806     
112.        26.1293     
114.        31.0602     
116.        30.9839     
118.        36.1107     
120.        38.8447     
122.        42.7625     
124.        38.863      
126.        39.5638     
128.        31.5537     
130.        30.4829     
132.        37.5239     
134.        54.9858     
136.        94.4913     
138.        115.        
140.        175.        
142.        224.        
144.        304.        
146.        346.        
148.        458.        
