Projectile: 12C; target: 7Li; E = 115 MeV
Rudchik A. T. et al. ELASTIC AND INELASTIC SCATTERING OF 12 C IONS BY 7 Li AT 115 MeV //Nuclear Physics & Atomic Energy. – 2013. – Т. 14. – №. 1.
Angle       C/s
19.10       156.4       2.3000      
21.80       54.77       0.8250      
24.60       39.50       0.5750      
27.30       31.09       0.6000      
30.10       11.28       0.3550      
32.90       4.441       0.2140      
35.70       5.236       0.2330      
38.50       4.116       0.2025      
41.40       1.696       0.1270      
44.20       0.9526      0.0859      
47.10       1.005       0.0906      
50.00       0.7252      0.0898      
52.90       0.3308      0.0729      
55.90       0.2482      0.0400      
58.90       0.2241      0.0450      
62.00       0.2287      0.0450      
65.00       0.2462      0.0405      
68.20       0.1744      0.0475      
71.40       0.2148      0.0386      
74.70       0.2264      0.0406      
78.10       0.2008      0.0385      
81.50       0.1145      0.0268      
85.10       0.1220      0.0271      
88.90       0.1045      0.0205      
119.80      0.0536      0.0147      
121.80      0.0440      0.0125      
123.80      0.0368      0.0097      
125.80      0.0415      0.0107      
127.80      0.0585      0.0153      
129.80      0.0679      0.0161      
131.80      0.0760      0.0234      
133.80      0.0499      0.0131      
135.80      0.0325      0.0087      
137.80      0.0310      0.0085      
139.90      0.0385      0.0102      
141.90      0.0583      0.0195      
143.90      0.0567      0.0114      
145.90      0.0488      0.0099      
147.90      0.0353      0.0067      
149.90      0.0367      0.0074      
151.90      0.0484      0.0088      
153.90      0.0492      0.0090      
155.90      0.0526      0.0139      
157.90      0.0397      0.0059      
159.90      0.0372      0.0058      
161.90      0.0529      0.0083      
163.90      0.0889      0.0132      
165.90      0.1021      0.0223      
