Projectile: 14N; target: 12C; E = 21 MeV
http://dx.doi.org/10.1088/1742-6596/590/1/012055
Angle       C/s
26.         12063.03    1085.67     
28.2        6904.34     690.43      
30.4        5431.95     325.92      
32.6        3956.23     316.5       
34.8        3070.28     276.32      
36.9        2307.38     207.66      
39.1        1803.22     108.19      
41.3        1434.18     114.73      
43.5        1136.95     102.33      
45.7        907.11      90.711      
47.9        774.        54.18       
50.1        620.85      62.085      
52.3        494.03      34.582      
54.5        386.51      30.92       
56.8        306.78      21.474      
59.         242.15      24.215      
61.2        197.18      15.775      
63.4        154.75      10.833      
65.7        128.12      10.25       
67.9        115.55      10.399      
70.2        90.9        6.3629      
72.5        87.65       7.0116      
74.7        67.42       5.3938      
77.         64.98       5.8483      
79.3        48.89       4.4004      
81.6        45.88       3.2117      
83.9        35.56       2.8448      
86.2        31.03       1.8618      
88.6        22.77       2.0495      
90.9        17.31       1.2118      
93.3        11.65       1.0484      
95.7        10.14       0.6085      
98.1        6.459       0.5813      
100.6       6.895       0.4137      
103.1       5.103       0.3572      
105.6       7.026       0.6323      
108.1       5.884       0.5884      
110.7       7.28        0.6323      
113.3       5.21        0.3126      
116.        7.218       0.7218      
118.8       7.229       0.6506      
121.7       4.389       0.2634      
124.7       3.085       0.1851      
127.9       2.451       0.196       
131.3       1.652       0.1322      
