Projectile: 15N; target: 13C; E = 84 MeV
http://dx.doi.org/10.15407/jnpae2021.01.010
Angle       C/s
15.139      5.877e+02   1.799e+02   
17.190      1.696e+02   5.192e+01   
19.391      8.163e+01   2.602e+01   
21.601      1.634e+02   5.208e+01   
23.653      5.872e+01   1.944e+01   
25.856      3.718e+01   1.084e+01   
28.057      1.725e+01   5.499e+00   
30.117      2.187e+01   6.697e+00   
32.468      1.603e+01   5.109e+00   
34.669      7.439e+00   2.182e+00   
36.731      1.218e+01   3.882e+00   
38.793      1.923e+01   6.129e+00   
41.144      1.544e+01   4.727e+00   
43.348      1.071e+01   3.414e+00   
45.405      8.141e+00   2.492e+00   
47.754      4.619e+00   1.355e+00   
49.811      3.385e+00   9.078e-01   
51.865      1.514e+00   4.443e-01   
54.214      8.593e-01   2.409e-01   
56.417      5.540e-01   1.696e-01   
58.627      1.031e+00   2.890e-01   
60.834      1.307e+00   4.002e-01   
63.044      2.389e+00   7.008e-01   
65.252      3.085e+00   9.830e-01   
67.459      3.635e+00   1.066e+00   
69.665      4.055e+00   1.292e+00   
72.018      3.981e+00   1.219e+00   
74.224      3.908e+00   1.095e+00   
89.801      7.002e-01   2.144e-01   
91.857      5.131e-01   1.505e-01   
93.767      3.495e-01   9.799e-02   
95.822      2.213e-01   6.492e-02   
105.827     4.427e-01   1.241e-01   
107.739     4.591e-01   1.226e-01   
109.800     6.149e-01   1.804e-01   
111.862     9.708e-01   2.721e-01   
113.773     9.022e-01   2.762e-01   
115.830     7.244e-01   2.031e-01   
117.742     7.376e-01   2.068e-01   
119.804     1.165e+00   3.264e-01   
121.865     1.531e+00   4.293e-01   
123.774     1.143e+00   2.898e-01   
125.832     8.848e-01   2.596e-01   
127.743     8.686e-01   2.548e-01   
129.806     1.530e+00   4.877e-01   
131.865     1.587e+00   4.858e-01   
133.774     1.061e+00   2.691e-01   
135.832     9.002e-01   2.404e-01   
137.745     1.080e+00   3.308e-01   
139.806     1.675e+00   5.338e-01   
141.865     1.557e+00   4.566e-01   
143.774     1.141e+00   2.797e-01   
145.832     8.830e-01   2.574e-01   
147.894     1.500e+00   4.204e-01   
149.807     1.736e+00   5.532e-01   
151.864     1.319e+00   3.523e-01   
153.773     8.663e-01   2.313e-01   
155.833     1.160e+00   3.383e-01   
157.897     2.281e+00   7.269e-01   
159.956     2.323e+00   6.813e-01   
161.865     1.702e+00   4.315e-01   
163.921     1.118e+00   2.985e-01   
165.986     2.687e+00   7.881e-01   
