Projectile: 15N; target: 6Li; E = 81 MeV
http://dx.doi.org/10.15407/jnpae2019.04.366
Angle       C/s
24.697      8.668e+01   2.843e+01   
28.294      8.414e+00   2.449e+00   
31.917      9.039e+00   2.330e+00   
35.717      1.746e+01   5.075e+00   
39.341      1.748e+01   5.263e+00   
43.203      3.234e+00   9.344e-01   
47.153      3.519e+00   9.945e-01   
51.000      2.195e+00   6.659e-01   
55.055      1.279e+00   3.537e-01   
59.421      7.585e-01   2.138e-01   
63.892      1.258e+00   3.963e-01   
73.249      5.146e-01   1.654e-01   
78.579      4.998e-01   1.505e-01   
90.951      3.346e-01   1.106e-01   
91.570      3.543e-01   1.102e-01   
93.834      2.950e-01   8.651e-02   
95.724      2.272e-01   6.613e-02   
97.756      1.913e-01   6.139e-02   
99.760      1.313e-01   3.787e-02   
101.735     1.358e-01   4.237e-02   
103.710     1.968e-01   5.724e-02   
105.686     3.156e-01   9.161e-02   
107.765     3.433e-01   1.062e-01   
109.687     3.298e-01   9.932e-02   
111.820     2.852e-01   8.550e-02   
113.840     2.338e-01   7.041e-02   
115.785     2.026e-01   5.689e-02   
117.746     1.840e-01   5.590e-02   
119.825     1.720e-01   5.104e-02   
121.800     2.409e-01   8.665e-02   
123.827     2.512e-01   8.542e-02   
125.771     3.699e-01   1.114e-01   
127.830     4.133e-01   1.107e-01   
129.748     3.974e-01   1.197e-01   
131.781     3.000e-01   9.742e-02   
133.813     1.859e-01   5.598e-02   
135.836     1.779e-01   5.694e-02   
139.734     3.346e-01   1.074e-01   
141.855     3.861e-01   1.163e-01   
143.841     4.275e-01   1.334e-01   
145.712     4.422e-01   1.262e-01   
147.792     3.673e-01   1.161e-01   
149.809     2.512e-01   7.311e-02   
151.841     2.305e-01   7.170e-02   
153.786     2.548e-01   7.927e-02   
155.797     3.103e-01   9.881e-02   
157.762     4.208e-01   1.225e-01   
159.795     7.254e-01   2.328e-01   
161.723     1.063e+00   3.162e-01   
163.860     8.020e-01   2.495e-01   
165.778     5.413e-01   1.715e-01   
