Projectile: 15N; target: 7Li; E = 81 MeV
http://dx.doi.org/10.1016/j.nuclphysa.2016.12.007
Angle       C/s
31.8        36.6        7.32        
35.1        17.39       3.478       
38.4        6.334       1.2668      
41.8        4.428       0.8856      
45.2        4.103       0.8206      
48.6        2.846       0.5692      
52.2        1.153       0.2306      
55.7        0.6343      0.12686     
59.4        0.4742      0.09484     
63.2        0.4518      0.09036     
67.         0.4225      0.0845      
71.1        0.485       0.097       
84.5        0.2022      0.04044     
97.9        0.2631      0.05262     
99.9        0.2386      0.04772     
101.9       0.1813      0.03626     
103.9       0.197       0.0394      
105.9       0.1927      0.03854     
107.9       0.182       0.0364      
109.9       0.1916      0.03832     
111.9       0.1543      0.03086     
113.9       0.1883      0.03766     
115.9       0.1378      0.02756     
117.9       0.1127      0.02254     
119.9       0.1218      0.02436     
121.9       0.1645      0.0329      
123.9       0.2087      0.04174     
131.9       0.2108      0.04216     
133.9       0.2774      0.05548     
135.9       0.4036      0.08072     
137.9       0.5034      0.10068     
139.9       0.4485      0.0897      
141.9       0.3198      0.06396     
143.9       0.2325      0.0465      
145.9       0.2886      0.05772     
147.9       0.402       0.0804      
149.9       0.6011      0.12022     
151.9       0.675       0.135       
153.9       0.4339      0.08678     
155.9       0.3375      0.006085    
157.9       0.2666      0.024135    
159.9       0.5072      7.32        
