Projectile: 16O; target: 13C; E = 17 MeV
http://dx.doi.org/10.1016/0375-9474(70)90903-6
Angle       R/s
52.832      1.0064      0.0709      
56.909      1.0003      0.0771      
60.747      0.9521      0.0734      
64.583      1.0005      0.0705      
68.661      0.9347      0.0658      
72.257      0.9761      0.0688      
76.331      1.0646      0.061       
80.89       1.0008      0.0639      
84.489      0.9292      0.0593      
88.805      0.9409      0.0601      
92.643      0.9123      0.0582      
96.481      0.8576      0.0491      
100.8       0.7720      0.0544      
104.64      0.7393      0.057       
108.48      0.7168      0.0458      
112.32      0.6865      0.0393      
116.4       0.6066      0.0427      
120.47      0.6104      0.039       
124.55      0.5102      0.0326      
128.4       0.4371      0.0337      
132.47      0.4291      0.0302      
136.31      0.3722      0.0262      
140.15      0.3654      0.0233      
