Projectile: 16O; target: 9Be; E = 18 MeV
http://dx.doi.org/10.1016/0375-9474(70)90903-6
Angle       R/s
55.443      0.9461      0.0538      
59.767      0.8787      0.0443      
63.61       0.8112      0.0356      
67.692      0.7397      0.0325      
71.777      0.7085      0.0357      
75.617      0.6189      0.0312      
79.46       0.5748      0.0253      
83.542      0.5210      0.033       
87.866      0.4809      0.0242      
91.948      0.4412      0.0251      
95.552      0.4175      0.021       
99.638      0.4174      0.023       
103.72      0.3901      0.0196      
107.57      0.3806      0.0241      
111.65      0.3345      0.0212      
115.73      0.3069      0.0135      
119.81      0.2850      0.0125      
124.13      0.2370      0.0119      
128.21      0.2083      0.0118      
132.06      0.2008      0.0127      
135.9       0.1876      0.0156      
140.23      0.2007      0.0128      
144.32      0.1934      0.0136      
