Projectile: 3He; target: 11B; E = 15 MeV
http://dx.doi.org/10.1016/0375-9474(69)91052-5
Angle       C/s
17.4        3.75e+03    2.55e+02    
20.5        2.09e+03    1.42e+02    
22.0        1.33e+03    9.05e+01    
25.0        6.55e+02    4.45e+01    
30.9        1.30e+02    8.86e+00    
38.2        1.55e+01    1.05e+00    
45.6        2.93e+01    1.99e+00    
49.2        3.54e+01    2.41e+00    
55.8        1.85e+01    1.26e+00    
60.4        7.02e+00    4.77e-01    
66.9        3.67e+00    2.49e-01    
70.4        3.66e+00    2.48e-01    
74.0        4.42e+00    3.00e-01    
77.7        6.08e+00    4.13e-01    
84.7        6.04e+00    4.10e-01    
89.8        4.65e+00    3.16e-01    
94.7        2.95e+00    2.00e-01    
99.8        2.42e+00    1.65e-01    
104.9       2.12e+00    1.44e-01    
110.3       2.40e+00    1.63e-01    
115.4       1.97e+00    1.34e-01    
119.1       2.88e+00    1.96e-01    
122.6       2.69e+00    1.83e-01    
129.7       3.25e+00    2.21e-01    
131.3       2.85e+00    1.94e-01    
