Projectile: 3He; target: 12C; E = 11 MeV
http://dx.doi.org/10.1016/0375-9474(70)90758-X
Angle       C/s
27.460      104.31406
33.350      36.02178
39.530      10.35731
45.160      3.67317
51.020      3.94798
57.420      3.68621
63.290      3.31301
69.430      2.29456
75.330      1.30343
80.950      0.78638
85.780      0.42465
90.870      0.26619
97.030      0.15741
101.85      0.10921
106.63      0.17696
111.69      0.28214
117.28      0.43196
121.54      0.56053
126.34      0.66895
131.14      0.68429
