Projectile: 3He; target: 4He; E = 6.25 MeV
http://dx.doi.org/10.1103/PhysRev.130.1112
Angle       C/s
29.8        1000.0      
39.7        450.0       
46.5        253.3       
49.8        221.7       
53.1        186.7       
53.9        176.7       
59.7        133.3       
64.6        110.0       
67.9        95.0        
72.9        71.7        
75.3        65.0        
80.3        60.0        
82.8        56.7        
85.2        55.0        
88.5        45.0        
90.2        40.0        
91.8        40.0        
93.5        33.3        
95.9        33.3        
98.4        30.0        
99.2        21.7        
103.3       18.3        
109.9       13.3        
114.1       13.3        
114.9       5.0         
116.5       8.3         
123.9       10.0        
125.6       13.3        
127.2       15.0        
128.9       16.7        
129.7       18.3        
131.4       20.0        
133.0       20.0        
134.7       25.0           
