Projectile: 3He; target: 9Be; E = 4 MeV
http://dx.doi.org/10.1016/0375-9474(69)91052-5
Angle       C/s
26.7        4.92e+03    2.22e+02    
34.2        1.91e+03    8.61e+01    
38.2        7.85e+02    3.54e+01    
43.8        3.92e+02    1.77e+01    
49.2        2.52e+02    1.14e+01    
58.1        1.85e+02    8.33e+00    
63.6        1.27e+02    5.71e+00    
70.6        1.05e+02    4.74e+00    
76.0        7.68e+01    3.47e+00    
79.7        5.60e+01    2.53e+00    
86.7        4.96e+01    2.24e+00    
90.4        3.62e+01    1.63e+00    
95.8        2.64e+01    1.19e+00    
101.1       2.06e+01    9.29e-01    
104.9       1.17e+01    5.26e-01    
112.2       7.50e+00    3.39e-01    
115.8       5.47e+00    2.47e-01    
120.8       8.05e+00    3.63e-01    
126.1       6.68e+00    3.01e-01    
131.3       7.61e+00    3.43e-01    
134.7       8.66e+00    3.91e-01    
139.9       9.88e+00    4.46e-01    
143.3       1.12e+01    5.07e-01    
146.8       9.93e+00    4.48e-01    
148.8       6.37e+00    2.87e-01    
154.1       5.63e+00    2.54e-01    
155.8       6.40e+00    2.89e-01    
162.6       7.79e+00    3.51e-01    
166.2       6.45e+00    2.91e-01    
